date,city,latitude,longitude,water_level_m,precipitation_mm,flood_alert_flag
2014-06-03,Idukki,9.8501,77.0166,7.58,243.41,Red
2014-06-04,Thiruvananthapuram,8.5241,76.9366,3.11,152.57,Yellow
2014-06-04,Kollam,8.8932,76.6141,6.23,152.17,Orange
2014-06-04,Alappuzha,9.4981,76.3388,5.55,288.75,Red
2014-06-04,Kottayam,9.5916,76.5222,4.65,174.8,Yellow
2014-06-04,Ernakulam,10.0827,76.2711,4.44,196.62,Yellow
2014-06-04,Thrissur,10.5276,76.2144,3.07,153.8,Yellow
2014-06-04,Palakkad,10.7867,76.6548,5.28,129.72,Yellow
2014-06-04,Malappuram,11.2588,76.3183,3.93,151.6,Yellow
2014-06-04,Kozhikode,11.2588,75.7804,3.84,195.63,Yellow
2014-06-04,Wayanad,11.6854,76.132,6.8,159.53,Orange
2014-06-04,Kannur,11.8745,75.3704,5.66,264.97,Red
2014-06-04,Kasaragod,12.499,75.0577,4.51,152.69,Yellow
2014-06-04,Pathanamthitta,9.2646,76.7874,4.14,210.78,Red
2014-06-04,Idukki,9.8501,77.0166,7.09,251.85,Red
2014-06-05,Thiruvananthapuram,8.5241,76.9366,5.21,253.91,Red
2014-06-05,Kollam,8.8932,76.6141,4.89,168.04,Yellow
2014-06-05,Alappuzha,9.4981,76.3388,6.5,247.29,Red
2014-06-05,Kottayam,9.5916,76.5222,6.85,267.21,Red
2014-06-05,Ernakulam,10.0827,76.2711,6.53,150.75,Orange
2014-06-05,Thrissur,10.5276,76.2144,4.85,233.84,Red
2014-06-05,Palakkad,10.7867,76.6548,3.45,250.8,Red
2014-06-05,Malappuram,11.2588,76.3183,3.8,139.56,Yellow
2014-06-05,Kozhikode,11.2588,75.7804,3.32,178.09,Yellow
2014-06-05,Wayanad,11.6854,76.132,3.77,210.87,Red
2014-06-05,Kannur,11.8745,75.3704,4.18,211.24,Red
2014-06-05,Kasaragod,12.499,75.0577,6.15,184.51,Orange
2014-06-05,Pathanamthitta,9.2646,76.7874,6.83,102.7,Yellow
2014-06-05,Idukki,9.8501,77.0166,7.97,184.45,Red
2014-06-06,Thiruvananthapuram,8.5241,76.9366,4.92,138.52,Yellow
2014-06-06,Kollam,8.8932,76.6141,4.82,185.4,Yellow
2014-06-06,Alappuzha,9.4981,76.3388,2.66,180.59,Yellow
2014-06-06,Kottayam,9.5916,76.5222,2.98,242.18,Red
2014-06-06,Ernakulam,10.0827,76.2711,4.93,112.14,Yellow
2014-06-06,Thrissur,10.5276,76.2144,5.01,213.57,Red
2014-06-06,Palakkad,10.7867,76.6548,2.84,220.88,Red
2014-06-06,Malappuram,11.2588,76.3183,5.47,168.92,Orange
2014-06-06,Kozhikode,11.2588,75.7804,3.17,196.18,Yellow
2014-06-06,Wayanad,11.6854,76.132,6.45,179.22,Orange
2014-06-06,Kannur,11.8745,75.3704,2.92,128.03,Yellow
2014-06-06,Kasaragod,12.499,75.0577,2.59,90.89,Yellow
2014-06-06,Pathanamthitta,9.2646,76.7874,3.27,186.18,Yellow
2014-06-06,Idukki,9.8501,77.0166,8.41,157.3,Red
2014-06-07,Thiruvananthapuram,8.5241,76.9366,4.24,174.27,Yellow
2014-06-07,Kollam,8.8932,76.6141,4.76,169.28,Yellow
2014-06-07,Alappuzha,9.4981,76.3388,4.45,104.88,Yellow
2014-06-07,Kottayam,9.5916,76.5222,2.15,193.78,Yellow
2014-06-07,Ernakulam,10.0827,76.2711,7.63,141.38,Red
2014-06-07,Thrissur,10.5276,76.2144,6.65,227.55,Red
2014-06-07,Palakkad,10.7867,76.6548,5.65,235.04,Red
2014-06-07,Malappuram,11.2588,76.3183,2.75,154.02,Yellow
2014-06-07,Kozhikode,11.2588,75.7804,4.36,166.88,Yellow
2014-06-07,Wayanad,11.6854,76.132,6.04,197.04,Orange
2014-06-07,Kannur,11.8745,75.3704,7.31,194.06,Red
2014-06-07,Kasaragod,12.499,75.0577,3.1,133.84,Yellow
2014-06-07,Pathanamthitta,9.2646,76.7874,2.19,214.38,Red
2014-06-07,Idukki,9.8501,77.0166,8.28,164.98,Red
2014-06-08,Thiruvananthapuram,8.5241,76.9366,3.44,241.7,Red
2014-06-08,Kollam,8.8932,76.6141,5.41,143.6,Yellow
2014-06-08,Alappuzha,9.4981,76.3388,2.92,183.13,Yellow
2014-06-08,Kottayam,9.5916,76.5222,3.16,141.68,Yellow
2014-06-08,Ernakulam,10.0827,76.2711,6.96,72.79,Yellow
2014-06-08,Thrissur,10.5276,76.2144,5.86,171.55,Orange
2014-06-08,Palakkad,10.7867,76.6548,1.8,221.93,Red
2014-06-08,Malappuram,11.2588,76.3183,8.36,135.1,Red
2014-06-08,Kozhikode,11.2588,75.7804,4.18,221.52,Red
2014-06-08,Wayanad,11.6854,76.132,3.9,144.02,Yellow
2014-06-08,Kannur,11.8745,75.3704,6.41,150.88,Orange
2014-06-08,Kasaragod,12.499,75.0577,6.97,120.67,Yellow
2014-06-08,Pathanamthitta,9.2646,76.7874,3.81,204.46,Red
2014-06-08,Idukki,9.8501,77.0166,5.75,179.61,Orange
2014-06-09,Thiruvananthapuram,8.5241,76.9366,3.82,205.45,Red
2014-06-09,Kollam,8.8932,76.6141,6.7,181.18,Orange
2014-06-09,Alappuzha,9.4981,76.3388,4.96,146.01,Yellow
2014-06-09,Kottayam,9.5916,76.5222,3.42,212.34,Red
2014-06-09,Ernakulam,10.0827,76.2711,4.38,174.47,Yellow
2014-06-09,Thrissur,10.5276,76.2144,4.8,181.97,Yellow
2014-06-09,Palakkad,10.7867,76.6548,1.79,123.97,Yellow
2014-06-09,Malappuram,11.2588,76.3183,8.01,199.81,Red
2014-06-09,Kozhikode,11.2588,75.7804,7.13,236.43,Red
2014-06-09,Wayanad,11.6854,76.132,6.9,155.2,Orange
2014-06-09,Kannur,11.8745,75.3704,7.4,187.99,Red
2014-06-09,Kasaragod,12.499,75.0577,4.73,213.53,Red
2014-06-09,Pathanamthitta,9.2646,76.7874,5.19,185.81,Orange
2014-06-09,Idukki,9.8501,77.0166,3.45,98.01,Yellow
2014-06-10,Thiruvananthapuram,8.5241,76.9366,4.35,152.46,Yellow
2014-06-10,Kollam,8.8932,76.6141,6.63,175.72,Orange
2014-06-10,Alappuzha,9.4981,76.3388,5.96,194.24,Orange
2014-06-10,Kottayam,9.5916,76.5222,5.71,122.61,Yellow
2014-06-10,Ernakulam,10.0827,76.2711,7.35,144.62,Red
2014-06-10,Thrissur,10.5276,76.2144,5.54,187.82,Orange
2014-06-10,Palakkad,10.7867,76.6548,4.33,198.96,Yellow
2014-06-10,Malappuram,11.2588,76.3183,2.71,115.62,Yellow
2014-06-10,Kozhikode,11.2588,75.7804,2.56,142.21,Yellow
2014-06-10,Wayanad,11.6854,76.132,6.55,196.52,Orange
2014-06-10,Kannur,11.8745,75.3704,2.72,214.33,Red
2014-06-10,Kasaragod,12.499,75.0577,5.59,174.26,Orange
2014-06-10,Pathanamthitta,9.2646,76.7874,4.45,194.49,Yellow
2014-06-10,Idukki,9.8501,77.0166,4.59,162.9,Yellow
2014-06-11,Thiruvananthapuram,8.5241,76.9366,2.81,249.65,Red
2014-06-11,Kollam,8.8932,76.6141,4.84,271.17,Red
2014-06-11,Alappuzha,9.4981,76.3388,5.82,147.81,Yellow
2014-06-11,Kottayam,9.5916,76.5222,5.94,244.04,Red
2014-06-11,Ernakulam,10.0827,76.2711,3.3,183.77,Yellow
2014-06-11,Thrissur,10.5276,76.2144,6.81,110.44,Yellow
2014-06-11,Palakkad,10.7867,76.6548,2.54,183.91,Yellow
2014-06-11,Malappuram,11.2588,76.3183,4.2,230.67,Red
2014-06-11,Kozhikode,11.2588,75.7804,7.93,209.44,Red
2014-06-11,Wayanad,11.6854,76.132,3.65,150.04,Yellow
2014-06-11,Kannur,11.8745,75.3704,2.62,223.51,Red
2014-06-11,Kasaragod,12.499,75.0577,4.24,188.74,Yellow
2014-06-11,Pathanamthitta,9.2646,76.7874,3.77,178.48,Yellow
2014-06-11,Idukki,9.8501,77.0166,8.42,139.78,Red
2014-06-12,Thiruvananthapuram,8.5241,76.9366,3.78,117.87,Yellow
2014-06-12,Kollam,8.8932,76.6141,4.72,190.72,Yellow
2014-06-12,Alappuzha,9.4981,76.3388,5.89,137.59,Yellow
2014-06-12,Kottayam,9.5916,76.5222,5.58,126.8,Yellow
2014-06-12,Ernakulam,10.0827,76.2711,7.11,210.41,Red
2014-06-12,Thrissur,10.5276,76.2144,7.18,163.75,Red
2014-06-12,Palakkad,10.7867,76.6548,5.38,218.99,Red
2014-06-12,Malappuram,11.2588,76.3183,6.72,167.26,Orange
2014-06-12,Kozhikode,11.2588,75.7804,2.68,207.96,Red
2014-06-12,Wayanad,11.6854,76.132,5.79,231.94,Red
2014-06-12,Kannur,11.8745,75.3704,4.58,124.28,Yellow
2014-06-12,Kasaragod,12.499,75.0577,4.9,150.66,Yellow
2014-06-12,Pathanamthitta,9.2646,76.7874,2.96,168.51,Yellow
2014-06-12,Idukki,9.8501,77.0166,3.57,194.22,Yellow
2014-06-13,Thiruvananthapuram,8.5241,76.9366,2.92,186.27,Yellow
2014-06-13,Kollam,8.8932,76.6141,3.93,192.61,Yellow
2014-06-13,Alappuzha,9.4981,76.3388,5.05,201.15,Red
2014-06-13,Kottayam,9.5916,76.5222,2.89,131.42,Yellow
2014-06-13,Ernakulam,10.0827,76.2711,3.56,226.54,Red
2014-06-13,Thrissur,10.5276,76.2144,7.3,124.72,Red
2014-06-13,Palakkad,10.7867,76.6548,2.01,143.11,Yellow
2014-06-13,Malappuram,11.2588,76.3183,2.8,90.16,Yellow
2014-06-13,Kozhikode,11.2588,75.7804,7.63,194.43,Red
2014-06-13,Wayanad,11.6854,76.132,6.1,155.81,Orange
2014-06-13,Kannur,11.8745,75.3704,4.98,180.95,Yellow
2014-06-13,Kasaragod,12.499,75.0577,5.83,206.01,Red
2014-06-13,Pathanamthitta,9.2646,76.7874,6.39,195.86,Orange
2014-06-13,Idukki,9.8501,77.0166,3.34,88.56,Yellow
2014-06-14,Thiruvananthapuram,8.5241,76.9366,5.87,172.02,Orange
2014-06-14,Kollam,8.8932,76.6141,3.28,255.22,Red
2014-06-14,Alappuzha,9.4981,76.3388,5.08,181.91,Orange
2014-06-14,Kottayam,9.5916,76.5222,6.98,207.93,Red
2014-06-14,Ernakulam,10.0827,76.2711,2.75,127.4,Yellow
2014-06-14,Thrissur,10.5276,76.2144,6.28,182.19,Orange
2014-06-14,Palakkad,10.7867,76.6548,2.92,238.55,Red
2014-06-14,Malappuram,11.2588,76.3183,7.25,146.59,Red
2014-06-14,Kozhikode,11.2588,75.7804,3.72,155.25,Yellow
2014-06-14,Wayanad,11.6854,76.132,5.69,127.56,Yellow
2014-06-14,Kannur,11.8745,75.3704,6.34,176.29,Orange
2014-06-14,Kasaragod,12.499,75.0577,2.98,138.54,Yellow
2014-06-14,Pathanamthitta,9.2646,76.7874,6.5,186.46,Orange
2014-06-14,Idukki,9.8501,77.0166,6.48,208.33,Red
2014-06-15,Thiruvananthapuram,8.5241,76.9366,5.74,214.65,Red
2014-06-15,Kollam,8.8932,76.6141,6.88,105.41,Yellow
2014-06-15,Alappuzha,9.4981,76.3388,2.65,173.99,Yellow
2014-06-15,Kottayam,9.5916,76.5222,4.61,221.83,Red
2014-06-15,Ernakulam,10.0827,76.2711,3.86,170.1,Yellow
2014-06-15,Thrissur,10.5276,76.2144,5.46,119.19,Yellow
2014-06-15,Palakkad,10.7867,76.6548,4.49,224.14,Red
2014-06-15,Malappuram,11.2588,76.3183,5.36,158.07,Orange
2014-06-15,Kozhikode,11.2588,75.7804,5.95,187.36,Orange
2014-06-15,Wayanad,11.6854,76.132,4.94,159.61,Yellow
2014-06-15,Kannur,11.8745,75.3704,4.11,225.16,Red
2014-06-15,Kasaragod,12.499,75.0577,6.32,93.09,Yellow
2014-06-15,Pathanamthitta,9.2646,76.7874,5.01,171.37,Orange
2014-06-15,Idukki,9.8501,77.0166,3.76,185.96,Yellow
2014-06-16,Thiruvananthapuram,8.5241,76.9366,4.65,138.42,Yellow
2014-06-16,Kollam,8.8932,76.6141,4.87,232.24,Red
2014-06-16,Alappuzha,9.4981,76.3388,5.71,141.02,Yellow
2014-06-16,Kottayam,9.5916,76.5222,7.26,190.87,Red
2014-06-16,Ernakulam,10.0827,76.2711,4.54,163.46,Yellow
2014-06-16,Thrissur,10.5276,76.2144,4.77,130.66,Yellow
2014-06-16,Palakkad,10.7867,76.6548,4.58,227.65,Red
2014-06-16,Malappuram,11.2588,76.3183,3.14,180.6,Yellow
2014-06-16,Kozhikode,11.2588,75.7804,6.28,143.08,Yellow
2014-06-16,Wayanad,11.6854,76.132,3.4,181.01,Yellow
2014-06-16,Kannur,11.8745,75.3704,5.35,196.37,Orange
2014-06-16,Kasaragod,12.499,75.0577,6.68,248.0,Red
2014-06-16,Pathanamthitta,9.2646,76.7874,3.4,195.8,Yellow
2014-06-16,Idukki,9.8501,77.0166,7.18,184.17,Red
2014-06-17,Thiruvananthapuram,8.5241,76.9366,3.19,196.07,Yellow
2014-06-17,Kollam,8.8932,76.6141,5.8,246.01,Red
2014-06-17,Alappuzha,9.4981,76.3388,2.89,182.85,Yellow
2014-06-17,Kottayam,9.5916,76.5222,4.06,101.44,Yellow
2014-06-17,Ernakulam,10.0827,76.2711,4.19,164.47,Yellow
2014-06-17,Thrissur,10.5276,76.2144,7.98,206.39,Red
2014-06-17,Palakkad,10.7867,76.6548,5.92,226.76,Red
2014-06-17,Malappuram,11.2588,76.3183,4.14,181.52,Yellow
2014-06-17,Kozhikode,11.2588,75.7804,2.77,211.91,Red
2014-06-17,Wayanad,11.6854,76.132,4.14,141.42,Yellow
2014-06-17,Kannur,11.8745,75.3704,5.19,210.32,Red
2014-06-17,Kasaragod,12.499,75.0577,6.9,208.78,Red
2014-06-17,Pathanamthitta,9.2646,76.7874,4.65,221.03,Red
2014-06-17,Idukki,9.8501,77.0166,3.17,211.64,Red
2014-06-18,Thiruvananthapuram,8.5241,76.9366,4.18,198.11,Yellow
2014-06-18,Kollam,8.8932,76.6141,4.46,168.45,Yellow
2014-06-18,Alappuzha,9.4981,76.3388,5.01,155.38,Orange
2014-06-18,Kottayam,9.5916,76.5222,5.56,160.99,Orange
2014-06-18,Ernakulam,10.0827,76.2711,5.95,207.56,Red
2014-06-18,Thrissur,10.5276,76.2144,5.81,159.57,Orange
2014-06-18,Palakkad,10.7867,76.6548,1.89,191.2,Yellow
2014-06-18,Malappuram,11.2588,76.3183,6.64,109.68,Yellow
2014-06-18,Kozhikode,11.2588,75.7804,6.74,169.84,Orange
2014-06-18,Wayanad,11.6854,76.132,6.36,241.38,Red
2014-06-18,Kannur,11.8745,75.3704,7.44,182.89,Red
2014-06-18,Kasaragod,12.499,75.0577,6.15,157.19,Orange
2014-06-18,Pathanamthitta,9.2646,76.7874,5.23,233.54,Red
2014-06-18,Idukki,9.8501,77.0166,6.8,208.23,Red
2014-06-19,Thiruvananthapuram,8.5241,76.9366,3.54,181.89,Yellow
2014-06-19,Kollam,8.8932,76.6141,5.93,168.33,Orange
2014-06-19,Alappuzha,9.4981,76.3388,3.49,213.78,Red
2014-06-19,Kottayam,9.5916,76.5222,5.75,170.12,Orange
2014-06-19,Ernakulam,10.0827,76.2711,2.92,210.82,Red
2014-06-19,Thrissur,10.5276,76.2144,2.87,219.77,Red
2014-06-19,Palakkad,10.7867,76.6548,2.24,225.19,Red
2014-06-19,Malappuram,11.2588,76.3183,8.17,194.9,Red
2014-06-19,Kozhikode,11.2588,75.7804,6.01,175.69,Orange
2014-06-19,Wayanad,11.6854,76.132,4.27,137.15,Yellow
2014-06-19,Kannur,11.8745,75.3704,3.05,119.81,Yellow
2014-06-19,Kasaragod,12.499,75.0577,6.92,156.77,Orange
2014-06-19,Pathanamthitta,9.2646,76.7874,2.54,223.64,Red
2014-06-19,Idukki,9.8501,77.0166,8.29,210.34,Red
2014-06-20,Thiruvananthapuram,8.5241,76.9366,3.16,177.67,Yellow
2014-06-20,Kollam,8.8932,76.6141,4.61,177.9,Yellow
2014-06-20,Alappuzha,9.4981,76.3388,4.44,189.82,Yellow
2014-06-20,Kottayam,9.5916,76.5222,2.36,160.74,Yellow
2014-06-20,Ernakulam,10.0827,76.2711,2.89,189.45,Yellow
2014-06-20,Thrissur,10.5276,76.2144,2.0,143.45,Yellow
2014-06-20,Palakkad,10.7867,76.6548,1.76,219.66,Red
2014-06-20,Malappuram,11.2588,76.3183,8.1,173.24,Red
2014-06-20,Kozhikode,11.2588,75.7804,2.54,133.9,Yellow
2014-06-20,Wayanad,11.6854,76.132,3.86,176.86,Yellow
2014-06-20,Kannur,11.8745,75.3704,3.5,292.62,Red
2014-06-20,Kasaragod,12.499,75.0577,5.11,160.97,Orange
2014-06-20,Pathanamthitta,9.2646,76.7874,5.43,146.01,Yellow
2014-06-20,Idukki,9.8501,77.0166,7.54,247.87,Red
2014-06-21,Thiruvananthapuram,8.5241,76.9366,5.57,145.58,Yellow
2014-06-21,Kollam,8.8932,76.6141,5.99,187.15,Orange
2014-06-21,Alappuzha,9.4981,76.3388,3.26,220.98,Red
2014-06-21,Kottayam,9.5916,76.5222,2.78,214.96,Red
2014-06-21,Ernakulam,10.0827,76.2711,5.14,169.2,Orange
2014-06-21,Thrissur,10.5276,76.2144,7.8,213.27,Red
2014-06-21,Palakkad,10.7867,76.6548,5.95,135.06,Yellow
2014-06-21,Malappuram,11.2588,76.3183,4.81,203.4,Red
2014-06-21,Kozhikode,11.2588,75.7804,4.74,221.6,Red
2014-06-21,Wayanad,11.6854,76.132,5.31,177.53,Orange
2014-06-21,Kannur,11.8745,75.3704,3.59,251.38,Red
2014-06-21,Kasaragod,12.499,75.0577,5.07,149.64,Yellow
2014-06-21,Pathanamthitta,9.2646,76.7874,3.17,204.96,Red
2014-06-21,Idukki,9.8501,77.0166,4.96,162.83,Yellow
2014-06-22,Thiruvananthapuram,8.5241,76.9366,5.69,192.54,Orange
2014-06-22,Kollam,8.8932,76.6141,6.84,197.96,Orange
2014-06-22,Alappuzha,9.4981,76.3388,4.38,159.86,Yellow
2014-06-22,Kottayam,9.5916,76.5222,6.19,151.47,Orange
2014-06-22,Ernakulam,10.0827,76.2711,6.8,107.61,Yellow
2014-06-22,Thrissur,10.5276,76.2144,7.82,228.35,Red
2014-06-22,Palakkad,10.7867,76.6548,2.51,95.39,Yellow
2014-06-22,Malappuram,11.2588,76.3183,4.86,121.94,Yellow
2014-06-22,Kozhikode,11.2588,75.7804,4.86,179.07,Yellow
2014-06-22,Wayanad,11.6854,76.132,4.96,149.13,Yellow
2014-06-22,Kannur,11.8745,75.3704,3.23,170.92,Yellow
2014-06-22,Kasaragod,12.499,75.0577,4.8,204.48,Red
2014-06-22,Pathanamthitta,9.2646,76.7874,3.12,129.17,Yellow
2014-06-22,Idukki,9.8501,77.0166,3.72,233.63,Red
2014-06-23,Thiruvananthapuram,8.5241,76.9366,4.06,142.1,Yellow
2014-06-23,Kollam,8.8932,76.6141,4.21,239.66,Red
2014-06-23,Alappuzha,9.4981,76.3388,3.81,201.09,Red
2014-06-23,Kottayam,9.5916,76.5222,7.09,163.51,Red
2014-06-23,Ernakulam,10.0827,76.2711,2.55,175.55,Yellow
2014-06-23,Thrissur,10.5276,76.2144,7.58,177.27,Red
2014-06-23,Palakkad,10.7867,76.6548,2.7,226.54,Red
2014-06-23,Malappuram,11.2588,76.3183,3.65,174.19,Yellow
2014-06-23,Kozhikode,11.2588,75.7804,5.59,162.88,Orange
2014-06-23,Wayanad,11.6854,76.132,3.9,123.89,Yellow
2014-06-23,Kannur,11.8745,75.3704,5.65,226.11,Red
2014-06-23,Kasaragod,12.499,75.0577,4.63,122.7,Yellow
2014-06-23,Pathanamthitta,9.2646,76.7874,2.61,222.67,Red
2014-06-23,Idukki,9.8501,77.0166,8.64,122.01,Red
2014-06-24,Thiruvananthapuram,8.5241,76.9366,4.75,134.02,Yellow
2014-06-24,Kollam,8.8932,76.6141,5.55,115.92,Yellow
2014-06-24,Alappuzha,9.4981,76.3388,3.02,126.54,Yellow
2014-06-24,Kottayam,9.5916,76.5222,7.21,229.78,Red
2014-06-24,Ernakulam,10.0827,76.2711,4.44,262.17,Red
2014-06-24,Thrissur,10.5276,76.2144,2.32,123.98,Yellow
2014-06-24,Palakkad,10.7867,76.6548,2.11,105.94,Yellow
2014-06-24,Malappuram,11.2588,76.3183,7.31,168.84,Red
2014-06-24,Kozhikode,11.2588,75.7804,6.27,242.37,Red
2014-06-24,Wayanad,11.6854,76.132,6.75,150.75,Orange
2014-06-24,Kannur,11.8745,75.3704,4.33,134.37,Yellow
2014-06-24,Kasaragod,12.499,75.0577,6.25,171.26,Orange
2014-06-24,Pathanamthitta,9.2646,76.7874,3.24,157.67,Yellow
2014-06-24,Idukki,9.8501,77.0166,8.51,210.69,Red
2014-06-25,Thiruvananthapuram,8.5241,76.9366,4.49,251.17,Red
2014-06-25,Kollam,8.8932,76.6141,5.79,188.56,Orange
2014-06-25,Alappuzha,9.4981,76.3388,4.55,161.63,Yellow
2014-06-25,Kottayam,9.5916,76.5222,3.11,193.52,Yellow
2014-06-25,Ernakulam,10.0827,76.2711,2.63,226.51,Red
2014-06-25,Thrissur,10.5276,76.2144,3.18,138.13,Yellow
2014-06-25,Palakkad,10.7867,76.6548,4.47,214.38,Red
2014-06-25,Malappuram,11.2588,76.3183,3.95,241.28,Red
2014-06-25,Kozhikode,11.2588,75.7804,5.71,241.6,Red
2014-06-25,Wayanad,11.6854,76.132,5.87,221.94,Red
2014-06-25,Kannur,11.8745,75.3704,5.56,157.6,Orange
2014-06-25,Kasaragod,12.499,75.0577,5.31,226.32,Red
2014-06-25,Pathanamthitta,9.2646,76.7874,5.46,121.14,Yellow
2014-06-25,Idukki,9.8501,77.0166,5.56,175.76,Orange
2014-06-26,Thiruvananthapuram,8.5241,76.9366,5.27,171.55,Orange
2014-06-26,Kollam,8.8932,76.6141,3.14,158.15,Yellow
2014-06-26,Alappuzha,9.4981,76.3388,2.35,188.37,Yellow
2014-06-26,Kottayam,9.5916,76.5222,3.86,257.09,Red
2014-06-26,Ernakulam,10.0827,76.2711,6.95,310.99,Red
2014-06-26,Thrissur,10.5276,76.2144,5.46,136.91,Yellow
2014-06-26,Palakkad,10.7867,76.6548,3.35,189.97,Yellow
2014-06-26,Malappuram,11.2588,76.3183,6.96,221.08,Red
2014-06-26,Kozhikode,11.2588,75.7804,6.64,148.1,Yellow
2014-06-26,Wayanad,11.6854,76.132,3.94,213.26,Red
2014-06-26,Kannur,11.8745,75.3704,6.63,147.42,Yellow
2014-06-26,Kasaragod,12.499,75.0577,4.62,137.19,Yellow
2014-06-26,Pathanamthitta,9.2646,76.7874,2.29,182.27,Yellow
2014-06-26,Idukki,9.8501,77.0166,2.91,113.04,Yellow
2014-06-27,Thiruvananthapuram,8.5241,76.9366,5.38,212.77,Red
2014-06-27,Kollam,8.8932,76.6141,3.66,156.84,Yellow
2014-06-27,Alappuzha,9.4981,76.3388,6.08,179.36,Orange
2014-06-27,Kottayam,9.5916,76.5222,3.89,185.45,Yellow
2014-06-27,Ernakulam,10.0827,76.2711,5.39,167.54,Orange
2014-06-27,Thrissur,10.5276,76.2144,7.35,237.47,Red
2014-06-27,Palakkad,10.7867,76.6548,3.02,162.82,Yellow
2014-06-27,Malappuram,11.2588,76.3183,3.89,193.62,Yellow
2014-06-27,Kozhikode,11.2588,75.7804,2.87,137.64,Yellow
2014-06-27,Wayanad,11.6854,76.132,6.38,111.48,Yellow
2014-06-27,Kannur,11.8745,75.3704,5.45,181.54,Orange
2014-06-27,Kasaragod,12.499,75.0577,4.7,155.94,Yellow
2014-06-27,Pathanamthitta,9.2646,76.7874,2.32,200.14,Red
2014-06-27,Idukki,9.8501,77.0166,7.01,122.62,Red
2014-06-28,Thiruvananthapuram,8.5241,76.9366,5.89,142.29,Yellow
2014-06-28,Kollam,8.8932,76.6141,3.3,220.0,Red
2014-06-28,Alappuzha,9.4981,76.3388,4.36,158.35,Yellow
2014-06-28,Kottayam,9.5916,76.5222,5.1,231.66,Red
2014-06-28,Ernakulam,10.0827,76.2711,6.55,148.19,Yellow
2014-06-28,Thrissur,10.5276,76.2144,5.88,157.7,Orange
2014-06-28,Palakkad,10.7867,76.6548,4.12,209.53,Red
2014-06-28,Malappuram,11.2588,76.3183,4.7,186.03,Yellow
2014-06-28,Kozhikode,11.2588,75.7804,6.83,207.56,Red
2014-06-28,Wayanad,11.6854,76.132,5.82,116.61,Yellow
2014-06-28,Kannur,11.8745,75.3704,5.46,211.53,Red
2014-06-28,Kasaragod,12.499,75.0577,4.49,190.06,Yellow
2014-06-28,Pathanamthitta,9.2646,76.7874,5.26,182.39,Orange
2014-06-28,Idukki,9.8501,77.0166,7.84,267.11,Red
